,vendor_id,name,open_hours,close_hours,street,city,state,email,phone_number,season_op
0,1,Golden Acres Farm,11:00,19:00,2033 avenue ,grey,NY,farm0.contact@gmail.com,450-458-9743,"Summer, Fall"
1,2,Meadowview Ranch,11:00,17:00,6076 street ,red,NJ,farm1.contact@gmail.com,129-659-1890,Fall
2,3,Whispering Pines Acres,9:00,19:00,3274 avenue ,grey,GA,farm2.contact@yahoo.com,653-436-2612,"Summer, Fall"
3,4,Sunny Hill Farmstead,8:00,17:00,4150 street ,red,NJ,farm3.contact@gmail.com,814-479-7504,"Summer, Fall"
4,5,Apple Orchard Ranch,8:00,19:00,8716 avenue ,brown,NJ,farm4.contact@yahoo.com,966-654-6886,Summer
5,6,Blue Sky Meadows,12:00,19:00,8091 street ,grey,NY,farm5.contact@gmail.com,935-763-6507,Summer
6,7,Hickory Ridge Farm,8:00,16:00,7688 street ,red,NY,farm6.contact@yahoo.com,562-502-6922,"Spring, Fall"
7,8,Maplewood Acres,8:00,19:00,2164 street ,blue,NY,farm7.contact@gmail.com,121-272-7664,All
8,9,Green Pastures Ranch,9:00,17:00,6105 avenue ,orange,NY,farm8.contact@gmail.com,796-669-4517,All
9,10,Riverbend Farmstead,12:00,18:00,4714 street ,yellow,GA,farm9.contact@yahoo.com,514-509-2757,All
10,11,Prairieview Acres,11:00,16:00,8624 street ,brown,NY,farm10.contact@yahoo.com,829-984-5955,Spring
11,12,Sunflower Fields Farm,10:00,18:00,2652 street ,yellow,NY,farm11.contact@yahoo.com,368-226-9608,Summer
12,13,Golden Harvest Ranch,10:00,16:00,8827 street ,yellow,GA,farm12.contact@gmail.com,807-186-7163,"Summer, Fall"
13,14,Cottonwood Grove Farmstead,8:00,18:00,1799 street ,black,NJ,farm13.contact@yahoo.com,794-512-5838,All
14,15,Red Maple Acres,12:00,19:00,7515 street ,blue,NY,farm14.contact@yahoo.com,510-900-7972,"Summer, Fall"
15,16,Silver Creek Ranch,11:00,19:00,3147 street ,green,NJ,farm15.contact@gmail.com,477-287-6647,"Summer, Fall"
16,17,Hidden Springs Farm,9:00,17:00,4737 avenue ,red,NY,farm16.contact@yahoo.com,594-149-1072,Summer
17,18,Misty Morning Acres,8:00,16:00,2631 avenue ,green,NY,farm17.contact@gmail.com,786-282-4605,"Spring, Fall"
18,19,Highland Hills Farmstead,8:00,19:00,5176 street ,grey,NY,farm18.contact@gmail.com,192-231-2563,"Spring, Summer, Fall"
19,20,Emerald Valley Acres,11:00,18:00,580 street ,black,NJ,farm19.contact@gmail.com,752-625-4132,"Spring, Fall"
20,21,Cherry Blossom Ranch,12:00,19:00,7425 avenue ,blue,GA,farm20.contact@gmail.com,121-473-7894,All
21,22,Bluebell Valley Farm,9:00,19:00,7506 street ,blue,GA,farm21.contact@gmail.com,851-868-5784,"Spring, Fall"
22,23,Pine Tree Acres,12:00,17:00,5223 avenue ,brown,GA,farm22.contact@yahoo.com,207-921-8374,Fall
23,24,Azure Sky Ranch,12:00,19:00,8788 street ,orange,GA,farm23.contact@yahoo.com,416-503-6180,Fall
24,25,Blossom Hill Farmstead,10:00,17:00,4592 avenue ,grey,NY,farm24.contact@yahoo.com,911-672-2539,All
25,26,Sycamore Valley Acres,9:00,16:00,2034 avenue ,blue,NJ,farm25.contact@gmail.com,485-875-2271,"Summer, Fall"
26,27,Sunny Slope Farm,9:00,16:00,4892 avenue ,orange,NJ,farm26.contact@gmail.com,842-325-9608,Fall
27,28,Mountain View Acres,10:00,16:00,6889 avenue ,blue,NJ,farm27.contact@gmail.com,940-525-1185,Summer
28,29,Starlight Meadows Ranch,11:00,18:00,1754 avenue ,orange,NJ,farm28.contact@gmail.com,997-928-3331,Fall
29,30,Crimson Clover Farmstead,12:00,19:00,3552 street ,yellow,NJ,farm29.contact@yahoo.com,631-995-7597,"Spring, Summer, Fall"
30,31,Meadow Lark Acres,11:00,18:00,310 street ,grey,GA,farm30.contact@gmail.com,956-655-4500,All
31,32,Whispering Oaks Ranch,9:00,19:00,8333 avenue ,brown,GA,farm31.contact@yahoo.com,336-944-3234,All
32,33,Rocky Top Farm,9:00,18:00,741 street ,orange,NY,farm32.contact@gmail.com,553-962-4441,Fall
