0,Golden Acres Farm,11:00,16:00,7943 avenue ,black,NY,farm0.contact@yahoo.com,226-741-1696,"Summer, Fall"
1,Meadowview Ranch,9:00,19:00,7322 street ,orange,PA,farm1.contact@gmail.com,365-461-7467,"Summer, Fall"
2,Whispering Pines Acres,8:00,18:00,7802 avenue ,orange,NJ,farm2.contact@gmail.com,461-925-4183,Spring
3,Sunny Hill Farmstead,9:00,19:00,1283 street ,orange,NY,farm3.contact@gmail.com,458-689-9132,"Spring, Fall"
4,Apple Orchard Ranch,12:00,16:00,5476 avenue ,blue,PA,farm4.contact@gmail.com,573-509-9607,All
5,Blue Sky Meadows,11:00,17:00,3488 avenue ,black,NY,farm5.contact@yahoo.com,310-251-4529,All
6,Hickory Ridge Farm,10:00,17:00,5324 avenue ,black,PA,farm6.contact@gmail.com,843-471-2144,All
7,Maplewood Acres,10:00,17:00,167 street ,black,PA,farm7.contact@yahoo.com,263-118-6846,"Spring, Fall"
8,Green Pastures Ranch,11:00,18:00,7785 avenue ,orange,NY,farm8.contact@gmail.com,320-989-1013,Spring
9,Riverbend Farmstead,9:00,17:00,3062 street ,blue,NJ,farm9.contact@gmail.com,379-630-4081,Fall
10,Prairieview Acres,10:00,17:00,1987 street ,grey,PA,farm10.contact@gmail.com,431-117-1603,"Summer, Fall"
11,Sunflower Fields Farm,8:00,16:00,6320 street ,black,PA,farm11.contact@yahoo.com,223-465-3658,Fall
12,Golden Harvest Ranch,10:00,18:00,5501 street ,blue,NY,farm12.contact@gmail.com,449-117-2566,Summer
13,Cottonwood Grove Farmstead,8:00,19:00,1016 avenue ,black,NY,farm13.contact@gmail.com,726-696-2675,Spring
14,Red Maple Acres,11:00,16:00,2673 avenue ,orange,PA,farm14.contact@gmail.com,647-207-4646,Summer
15,Silver Creek Ranch,12:00,19:00,1770 avenue ,brown,PA,farm15.contact@gmail.com,551-701-6748,Spring
16,Hidden Springs Farm,10:00,18:00,5596 avenue ,brown,NJ,farm16.contact@yahoo.com,220-845-6303,"Spring, Fall"
17,Misty Morning Acres,10:00,17:00,985 avenue ,grey,PA,farm17.contact@yahoo.com,232-232-9531,Fall
18,Highland Hills Farmstead,8:00,17:00,5818 street ,grey,NY,farm18.contact@gmail.com,126-360-8314,Spring
19,Emerald Valley Acres,10:00,18:00,8352 street ,orange,NY,farm19.contact@gmail.com,786-565-5373,All
20,Cherry Blossom Ranch,11:00,19:00,3216 avenue ,yellow,NY,farm20.contact@gmail.com,308-361-6901,Fall
21,Bluebell Valley Farm,8:00,17:00,8780 street ,brown,PA,farm21.contact@gmail.com,485-465-2692,Spring
22,Pine Tree Acres,11:00,17:00,1444 street ,yellow,PA,farm22.contact@yahoo.com,203-628-8602,Fall
23,Azure Sky Ranch,8:00,16:00,2403 street ,black,PA,farm23.contact@yahoo.com,990-598-2905,"Summer, Fall"
24,Blossom Hill Farmstead,10:00,16:00,2237 avenue ,grey,PA,farm24.contact@yahoo.com,381-367-6802,"Summer, Fall"
25,Sycamore Valley Acres,12:00,16:00,5967 street ,blue,PA,farm25.contact@gmail.com,773-179-9580,Summer
26,Sunny Slope Farm,11:00,19:00,2000 avenue ,blue,PA,farm26.contact@gmail.com,809-352-2296,Summer
27,Mountain View Acres,9:00,18:00,1906 avenue ,grey,PA,farm27.contact@yahoo.com,989-957-4339,"Spring, Summer, Fall"
28,Starlight Meadows Ranch,8:00,16:00,3669 avenue ,orange,NY,farm28.contact@yahoo.com,198-942-2983,All
29,Crimson Clover Farmstead,12:00,17:00,5719 avenue ,black,NJ,farm29.contact@gmail.com,591-893-8878,"Spring, Fall"
30,Meadow Lark Acres,12:00,18:00,8328 street ,grey,NJ,farm30.contact@yahoo.com,483-903-3577,Summer
31,Whispering Oaks Ranch,10:00,18:00,7552 avenue ,orange,PA,farm31.contact@gmail.com,552-362-5520,Spring
32,Rocky Top Farm,11:00,17:00,5051 street ,blue,NJ,farm32.contact@yahoo.com,209-119-4748,Fall
33,Briarwood Acres,8:00,17:00,118 avenue ,grey,NJ,farm33.contact@yahoo.com,192-181-1466,"Spring, Fall"
34,Crimson Ridge Ranch,8:00,16:00,7665 avenue ,green,PA,farm34.contact@yahoo.com,689-826-8783,All
35,Golden Fields Farmstead,11:00,19:00,7876 street ,blue,PA,farm35.contact@yahoo.com,670-334-6066,All
36,Magnolia Hill Acres,9:00,18:00,170 avenue ,blue,NY,farm36.contact@yahoo.com,998-778-1492,"Summer, Fall"
37,Silver Lake Ranch,10:00,16:00,2501 avenue ,black,NJ,farm37.contact@yahoo.com,116-248-3530,All
38,Sycamore Grove Farm,12:00,18:00,8122 street ,grey,PA,farm38.contact@yahoo.com,613-423-1835,Spring
39,Sunset Ridge Acres,12:00,17:00,31 avenue ,black,NY,farm39.contact@gmail.com,558-598-1833,"Summer, Fall"
40,Apple Blossom Ranch,11:00,17:00,197 avenue ,brown,PA,farm40.contact@yahoo.com,600-747-8098,"Summer, Fall"
41,Pecan Grove Farmstead,11:00,17:00,8462 street ,grey,PA,farm41.contact@yahoo.com,694-212-5272,"Spring, Summer, Fall"
42,Hidden Hollow Acres,11:00,18:00,6546 avenue ,black,PA,farm42.contact@yahoo.com,923-501-1482,Spring
43,Golden Wheat Farm,9:00,19:00,535 avenue ,brown,NY,farm43.contact@gmail.com,421-459-2319,All
44,Hazelwood Acres,8:00,16:00,4225 street ,black,PA,farm44.contact@gmail.com,468-961-3260,Spring
45,Green Meadow Farmstead,8:00,16:00,5424 street ,red,PA,farm45.contact@gmail.com,465-769-6515,All
46,Rustic Haven Acres,11:00,18:00,1369 street ,red,NJ,farm46.contact@gmail.com,558-411-6436,Spring
47,Harvest Moon Farm,9:00,19:00,8596 avenue ,blue,NY,farm47.contact@yahoo.com,776-513-8185,All
48,Ivory Tower Ranch,10:00,19:00,3658 avenue ,grey,NY,farm48.contact@yahoo.com,115-893-9564,"Spring, Summer, Fall"
49,Wilderness Way Farmstead,8:00,19:00,5918 street ,black,NJ,farm49.contact@gmail.com,449-956-2670,Spring
50,Goldenrod Acres,12:00,16:00,2069 avenue ,blue,PA,farm50.contact@gmail.com,755-182-6971,Spring
51,Whistling Wind Ranch,10:00,16:00,8965 avenue ,red,NJ,farm51.contact@gmail.com,844-725-5280,"Spring, Summer, Fall"
52,Mossy Oak Farm,10:00,19:00,6537 street ,brown,NJ,farm52.contact@gmail.com,677-949-7070,"Spring, Fall"
53,Cedar Springs Acres,9:00,16:00,3027 avenue ,yellow,PA,farm53.contact@yahoo.com,173-350-5029,Summer
54,Wildflower Meadows Ranch,9:00,19:00,1567 avenue ,green,PA,farm54.contact@yahoo.com,526-302-4591,"Summer, Fall"
55,Prairie Sunset Farmstead,11:00,18:00,3901 avenue ,grey,NY,farm55.contact@gmail.com,792-775-3068,Fall
56,Pine Ridge Farm,10:00,16:00,1774 avenue ,brown,PA,farm56.contact@yahoo.com,398-177-3374,Summer
57,Mountain Laurel Acres,8:00,18:00,5168 avenue ,orange,NY,farm57.contact@yahoo.com,629-546-8904,"Spring, Fall"
58,Orange Blossom Farmstead,12:00,17:00,1234 street ,orange,NY,farm58.contact@yahoo.com,855-875-2585,Spring
59,Harmony Hills Ranch,8:00,17:00,8885 street ,black,PA,farm59.contact@gmail.com,617-681-8060,"Spring, Summer, Fall"
60,Golden Gate Acres,11:00,16:00,4080 avenue ,grey,PA,farm60.contact@gmail.com,764-375-8652,Summer
61,Blue Ridge Farm,8:00,16:00,8482 avenue ,yellow,NY,farm61.contact@gmail.com,890-743-4377,All
62,Sycamore Ridge Acres,11:00,17:00,294 avenue ,green,PA,farm62.contact@yahoo.com,893-141-7259,Spring
63,Riverfront Ranch,10:00,19:00,7423 street ,orange,NJ,farm63.contact@yahoo.com,688-113-1174,Summer
64,Starshine Acres,9:00,16:00,6683 street ,brown,NJ,farm64.contact@yahoo.com,411-708-4083,"Spring, Fall"
65,Meadow Brook Farmstead,9:00,18:00,7222 avenue ,red,PA,farm65.contact@gmail.com,609-554-3617,"Spring, Fall"
66,Hidden Springs Acres,12:00,17:00,1285 street ,black,NY,farm66.contact@yahoo.com,179-865-5001,Summer
67,Pecan Valley Farm,8:00,16:00,917 avenue ,green,PA,farm67.contact@gmail.com,551-944-4786,"Spring, Fall"
68,Emerald Isle Acres,10:00,18:00,3933 avenue ,grey,NY,farm68.contact@yahoo.com,496-376-2381,Spring
69,Silver Creek Farmstead,12:00,19:00,8011 avenue ,orange,NJ,farm69.contact@yahoo.com,651-291-1634,"Spring, Summer, Fall"
70,Birchwood Ranch,10:00,18:00,859 street ,grey,NJ,farm70.contact@yahoo.com,121-289-8841,Fall
71,Moonlit Meadows Acres,9:00,17:00,5011 avenue ,black,PA,farm71.contact@yahoo.com,114-640-2057,All
72,Whispering Oaks Farm,8:00,19:00,4177 avenue ,red,NJ,farm72.contact@gmail.com,699-454-8433,"Spring, Fall"
73,Sunny Side Acres,9:00,19:00,2272 street ,green,NY,farm73.contact@gmail.com,826-917-3965,"Spring, Summer, Fall"
74,Sugar Maple Ranch,10:00,19:00,2442 avenue ,green,PA,farm74.contact@gmail.com,153-517-1046,Spring
75,Golden Gables Farm,8:00,18:00,451 avenue ,brown,NJ,farm75.contact@gmail.com,463-652-7959,Summer
